# 季節|季語|読み|自分で書いた一行の説明|コトバンクで引いた見出し（季節の確認用）
春|凧|たこ|糸をつけて風で空に上げる遊び。|凧
夏|衣替え|ころもがえ|季節に合わせて服を替えること。季語では夏。|衣替え
夏|鯉幟|こいのぼり|端午の節句に立てる鯉の形ののぼり。|鯉幟
夏|柏餅|かしわもち|柏の葉で包んだ餅。端午の節句に食べる。|柏餅
夏|若葉|わかば|夏のはじめの、みずみずしい木の葉。|若葉
夏|新緑|しんりょく|初夏の木々の明るい緑。|新緑
夏|母の日|ははのひ|母に感謝する日。五月の第二日曜日。|母の日
夏|田植|たうえ|苗を水田に植えること。|田植
夏|梅雨|つゆ|六月ごろに長く続く雨の季節。|梅雨
夏|五月雨|さみだれ|旧暦五月ごろに降り続く長雨。梅雨の雨。|五月雨
夏|紫陽花|あじさい|梅雨のころに咲く、丸く集まった花。|紫陽花
夏|蛍|ほたる|夜に光りながら飛ぶ虫。|蛍
夏|蝉|せみ|木にとまって大きな声で鳴く虫。|蝉
夏|蟻|あり|列を作って歩く小さな虫。|蟻
夏|金魚|きんぎょ|赤い色のかわいい観賞用の魚。|金魚
夏|風鈴|ふうりん|風に吹かれて涼しい音を鳴らす鈴。|風鈴
夏|団扇|うちわ|手であおいで風を送る道具。|団扇
夏|夕立|ゆうだち|夏の午後から夕方にかけて急に降る強い雨。|夕立
夏|雷|かみなり|大きな音と光を出す空の放電。|雷
夏|虹|にじ|雨上がりの空にかかる七色の橋。|虹
夏|雲の峰|くものみね|山のようにもくもくと高く立つ雲。入道雲。|雲の峰
夏|向日葵|ひまわり|太陽のほうを向くといわれる大きな黄色い花。|向日葵
夏|花火|はなび|夜空に打ち上げる光の輪。|花火
夏|浴衣|ゆかた|夏に着る木綿の着物。|浴衣
夏|夏休み|なつやすみ|学校の夏の長い休み。|夏休み
夏|海水浴|かいすいよく|海で泳いだり遊んだりすること。|海水浴
夏|昼寝|ひるね|暑い日の昼間の眠り。|昼寝
夏|汗|あせ|暑さで体から出る水。|汗
夏|冷や奴|ひややっこ|冷やした豆腐に薬味をのせた料理。|冷や奴
夏|麦茶|むぎちゃ|煎った麦で作る冷たいお茶。|麦茶
夏|扇風機|せんぷうき|羽根を回して風を送る電気の道具。|扇風機
秋|七夕|たなばた|星に願いをかける行事。季語では秋。|七夕
秋|天の川|あまのがわ|夜空を横切る星の帯。季語では秋。|天の川
秋|朝顔|あさがお|朝に咲いて昼にしぼむ花。季語では秋。|朝顔
秋|西瓜|すいか|大きな緑の実で中が赤い果物。季語では秋。|西瓜
秋|盆踊|ぼんおどり|お盆に輪になって踊る行事。|盆踊
秋|稲妻|いなずま|雷の光。昔は、稲を実らせると考えられた。|稲妻
秋|台風|たいふう|強い風と雨をもたらす大きな嵐。|台風
秋|月|つき|夜空の月。季語でただ「月」といえば秋の月。|月
秋|名月|めいげつ|旧暦八月十五日（十五夜）などの夜の月。|名月
秋|月見|つきみ|月をながめて楽しむこと。|月見
秋|流星|りゅうせい|夜空にすっと光って消える星。流れ星。|流星
秋|秋風|あきかぜ|秋に吹く、すずしい風。|秋風
秋|鰯雲|いわしぐも|小さな雲が魚の群れのように並んだ空。|鰯雲
秋|秋晴|あきばれ|秋の、よく晴れて空が高い日。|秋晴
秋|夜長|よなが|秋の夜が長く感じられること。|夜長
秋|虫|むし|秋に草むらで鳴く虫のこと。|虫
秋|鈴虫|すずむし|「リーンリーン」と鳴く虫。|鈴虫
秋|蟋蟀|こおろぎ|秋の夜に鳴く黒っぽい虫。|蟋蟀
秋|蜻蛉|とんぼ|細長い体で空を飛ぶ虫。赤とんぼも。|蜻蛉
秋|案山子|かかし|田んぼで鳥を追うための人形。|案山子
秋|稲刈|いねかり|実った稲を刈り取ること。|稲刈
秋|新米|しんまい|その年にとれたお米。|新米
秋|柿|かき|秋に実るだいだい色の果物。|柿
秋|栗|くり|いがに包まれた秋の木の実。|栗
秋|梨|なし|みずみずしい秋の果物。|梨
秋|葡萄|ぶどう|房になって実る果物。|葡萄
秋|秋刀魚|さんま|秋においしい細長い魚。|秋刀魚
秋|薄|すすき|秋の野にゆれる穂の草。すすき。お月見に飾る。|薄
秋|萩|はぎ|小さな赤紫の花をつける秋の草。|萩
秋|菊|きく|秋に咲く、香りのよい花。|菊
秋|曼珠沙華|まんじゅしゃげ|秋の彼岸のころに咲く赤い花。彼岸花。|曼珠沙華
秋|紅葉|もみじ|秋に木の葉が赤や黄に色づくこと。|紅葉
秋|運動会|うんどうかい|学校などで走ったり競ったりする行事。|運動会
秋|渡り鳥|わたりどり|季節によって遠くの土地へ移る鳥。|渡り鳥
冬|小春|こはる|冬のはじめ（旧暦十月）の、春のように暖かいころ。|小春
冬|木枯らし|こがらし|冬のはじめに吹く、冷たく強い風。|木枯らし
冬|時雨|しぐれ|秋の終わりから冬のはじめに、降ったりやんだりする雨。|時雨
冬|落葉|おちば|木から落ちた葉。季語では冬。|落葉
冬|霜|しも|寒い朝、地面や草に白くつく氷の粒。|霜
冬|初雪|はつゆき|その冬はじめて降る雪。|初雪
冬|雪|ゆき|空から降る白い氷の結晶。|雪
冬|氷|こおり|水が冷えて固まったもの。|氷
冬|雪達磨|ゆきだるま|雪を丸めて作る人形。|雪達磨
冬|冬至|とうじ|一年でいちばん昼が短い日。|冬至
冬|柚子湯|ゆずゆ|冬至の日に柚子を浮かべて入るお風呂。|柚湯
冬|大晦日|おおみそか|一年の最後の日。|大晦日
冬|年越|としこし|大晦日の夜に古い年を送り新しい年を迎えること。|年越
冬|除夜の鐘|じょやのかね|大晦日の夜にお寺で百八回つく鐘。|除夜の鐘
冬|餅搗き|もちつき|年末に、蒸したもち米をついて餅にすること。|餅搗き
冬|炬燵|こたつ|中に熱源があり、布団をかけて暖まる台。|炬燵
冬|焚火|たきび|落ち葉などを燃やして暖まる火。|焚火
冬|手袋|てぶくろ|手を寒さから守るもの。|手袋
冬|襟巻|えりまき|首に巻いて寒さを防ぐもの。マフラー。|襟巻
冬|風邪|かぜ|寒い時期にひきやすい病気。|風邪
冬|焼芋|やきいも|焼いたさつまいも。|焼芋
冬|蜜柑|みかん|冬の、こたつで食べる果物。|蜜柑
冬|大根|だいこん|冬においしい白くて長い野菜。|大根
冬|白菜|はくさい|鍋料理に使う冬の野菜。|白菜
冬|水仙|すいせん|寒い時期に咲く、香りのよい花。|水仙
冬|山茶花|さざんか|冬のはじめに咲く赤や白の花。|山茶花
冬|白鳥|はくちょう|冬に北から渡ってくる白い大きな鳥。|白鳥
冬|日向ぼこ|ひなたぼこ|日の当たる所で暖まること。|日向ぼこ
冬|クリスマス||十二月二十五日の、イエス・キリストの誕生を祝う日。|クリスマス
新年|正月|しょうがつ|一年のはじめの月。また、年のはじめを祝う期間。|正月
新年|元日|がんじつ|一月一日。|元日
新年|初日|はつひ|元日の朝の日の出。|初日
新年|初詣|はつもうで|新年にはじめて神社やお寺にお参りすること。|初詣で
新年|門松|かどまつ|正月に家の門に立てる松の飾り。|門松
新年|鏡餅|かがみもち|丸く平たい餅を重ねて供える正月の飾り。|鏡餅
新年|雑煮|ぞうに|正月に食べる、餅の入った汁。|雑煮
新年|年玉|としだま|新年に子どもなどに贈るお金や品。お年玉。|年玉
新年|年賀状|ねんがじょう|新年を祝うはがき。|年賀状
新年|書初|かきぞめ|新年にはじめて筆で字を書くこと。|書初
新年|初夢|はつゆめ|新年にはじめて見る夢。|初夢
新年|羽子板|はごいた|羽根つきに使う板。|羽子板
新年|双六|すごろく|さいころを振って進む正月の遊び。|双六
新年|福笑|ふくわらい|目かくしで顔の部品を置いて遊ぶ正月の遊び。|福笑
新年|歌留多|かるた|札を取り合う正月の遊び。|歌留多
新年|七草|ななくさ|一月七日に七種の若菜を入れたかゆを食べる風習。|七種
新年|獅子舞|ししまい|獅子の頭をかぶって舞う正月の芸。|獅子舞
